Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
"Construction, Contracting, and Labour Service",LEESWOOD CONSTRUCTION,,342331642-001,Issued,"Aug 17, 2023","Sep 29, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",CARDEN HOLDINGS LTD.,,491846003-001,Issued,"Dec 08, 2023","Dec 07, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",MARABA CLEANING SERVICES,,388750755-002,Issued,"Feb 29, 2024","Mar 24, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",GROUND CONTROL INC.,,487910199-001,Issued,"Dec 04, 2023","Dec 03, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",UNITED EXCAVATING & DEMOLITION LTD,824 - 78 AVENUE NW,454350324-002,Issued,"Dec 05, 2023","Dec 22, 2024",,6690,Southeast Industrial,Sspomitapi,53.514065,-113.356884,"(53.51406501624673, -113.3568841421318)",1,POINT (-113.3568841421318 53.51406501624673)
Retail Sales (Minor),BJLUX HAIR PRODUCT,,457598602-002,Issued,"Feb 09, 2024","Dec 15, 2024",,,,,,,,1,
Health Enhancement Centre (Accredited / Independent),FUEL PAIN AND INJURY RECOVERY CLINIC,,356407704-006,Issued,"Feb 09, 2024","Jan 30, 2025",,,,,,,,1,
"Retail Sales (Minor), Vehicle Repair, Maintenance, and Modification",WAYLONS V-TWIN,,500871607-001,Issued,"Mar 14, 2024","Mar 13, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",AYALA BUILDERS LTD.,,441340718-002,Issued,"Jun 12, 2024","Jul 24, 2026",,,,,,,,1,
Personal Service,WHOLE BEAUTY BY ANA,,343232828-002,Renewal Notice,"Jan 02, 2024","Oct 07, 2024",,,,,,,,1,
Administration Office / Professional Service,CANADA SPECIFIC LTD.,Non Resident Business,488002640-001,Issued,"Oct 26, 2023","Oct 25, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",HALDEN CONSTRUCTION,,483425661-001,Issued,"Dec 07, 2023","Dec 06, 2024",,,,,,,,1,
Retail Sales (Minor),APARTMENT020,,429584878-002,Issued,"Apr 23, 2024","Jun 01, 2025",,,,,,,,1,
"Administration Office / Professional Service, Retail Sales (Minor)",COTTON TREASURE DESIGN,,461845306-002,Issued,"Jan 18, 2024","Jan 25, 2025",,,,,,,,1,
Administration Office / Professional Service,IMAGES OF DISTINCTION INC.,,406958906-002,Renewal Notice,"Sep 15, 2022","Oct 07, 2024",,,,,,,,1,
Commercial School,NL.STUDIO.CV,,498980840-001,Issued,"May 09, 2024","May 08, 2025",,,,,,,,1,
Delivery and Logistic Service,1897596 ALBERTA LTD,,420611146-002,Issued,"Feb 02, 2024","Jan 25, 2026",,,,,,,,1,
"Wholesale, Warehouse, and Storage",VP SONS INC.,,499872276-001,Issued,"Apr 02, 2024","Apr 01, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",LUX DEVELOPMENTS LTD.,,475252198-001,Issued,"Jun 12, 2024","Jun 15, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",KNIGHT & CO. APPRAISALS LTD.,,385154208-002,Issued,"Dec 28, 2022","Feb 08, 2025",,,,,,,,1,
Food Processing / Catering Service,THE LITTLE MISS MOCHA,,362590392-002,Issued,"Jun 20, 2024","Jun 07, 2025",,,,,,,,1,
Administration Office / Professional Service,NUNA LOGISTICS LIMITED,"14, 6194 - 50 STREET NW",416288336-002,Issued,"Nov 29, 2023","Dec 15, 2024",,6640,Roper Industrial,Karhiio,53.499080,-113.424411,"(53.499080025151855, -113.42441113197118)",1,POINT (-113.42441113197118 53.499080025151855)
Administration Office / Professional Service,ALBERTA TRAFFIC TICKET AGENTS,,498797030-001,Issued,"Mar 26, 2024","Mar 25, 2025",,,,,,,,1,
"Retail Sales (Minor), Wholesale, Warehouse, and Storage",M T MEAT SHOP,,477251032-001,Issued,"Aug 13, 2024","Sep 11, 2025",,,,,,,,1,
"Retail Sales (Minor), Light Duty Repair Service",QUICK FIX PHONE REPAIR,,501153738-001,Issued,"Apr 19, 2024","Apr 18, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",THE QUALITY STADIUM,,429865565-002,Issued,"May 11, 2024","Apr 21, 2025",,,,,,,,1,
Financial Service,BIZNES FINANCIAL SERVICES INC.,2858 - CALGARY TRAIL NW,488257404-001,Issued,"Jan 04, 2024","Jan 03, 2025",,5120,Calgary Trail South,papastew,53.458247,-113.493968,"(53.45824703582803, -113.4939676300058)",1,POINT (-113.4939676300058 53.45824703582803)
General Business,SUPPORTABILITY,,501631439-001,Issued,"Mar 07, 2024","Mar 06, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",IDEAL TILE & STONE LTD.,,487757533-001,Issued,"Oct 13, 2023","Oct 12, 2024",,,,,,,,1,
"Public Market Vendor, Personal Service, Health Enhancement Centre (Accredited)",MA-ARTEH BEAUTY STUDIO AND MEDISPA,,460174825-002,Issued,"Feb 20, 2024","Feb 22, 2025",,,,,,,,1,
Personal Service,DALY GROVE BARBERS,,326119663-004,Issued,"Jan 24, 2024","Feb 18, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",KUEFLER'S YARD MAINTENANCE,,410036887-002,Renewal Notice,"Oct 02, 2023","Oct 03, 2024",,,,,,,,1,
Administration Office / Professional Service,CROMWELL PROPERTIES LTD,,499665789-001,Issued,"Feb 06, 2024","Feb 05, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",FLAT RATE FURNACE & CARPET CLEANING,,378974533-002,Issued,"Nov 01, 2022","Dec 06, 2024",,,,,,,,1,
Delivery and Logistic Service,CHEEMA LOGISTICS LTD.,,373525211-002,Issued,"Dec 12, 2022","Oct 14, 2024",,,,,,,,1,
Retail Sales (Minor),SHE.SHOPS,,495862368-001,Issued,"Jan 17, 2024","Jan 16, 2025",,,,,,,,1,
"Administration Office / Professional Service, Commercial School",LEANNE CHESSER,,482602249-001,Renewal Notice,"Sep 06, 2023","Sep 05, 2024",,,,,,,,1,
"Retail Sales (Minor), Commercial School",SARAH MCKENDRY FINE ART INC.,,448570982-002,Issued,"Oct 17, 2023","Sep 26, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",EDMONTON HOME RENOVATIONS LTD.,,465969708-002,Issued,"Apr 05, 2023","Apr 04, 2025",,,,,,,,1,
Retail Sales (Minor),ALUXE BAGS AND ACCESSORIES,,407905225-002,Renewal Notice,"Sep 11, 2023","Sep 08, 2024",,,,,,,,1,
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",BAR HENRY,"160, 10220 - 103 AVENUE NW",486870375-001,Issued,"Nov 24, 2023","Nov 23, 2024",Downtown,1090,Downtown,O-day'min,53.545358,-113.497010,"(53.545358031048, -113.49700960020199)",1,POINT (-113.49700960020199 53.545358031048)
Delivery and Logistic Service,WTX'PRESS LTD.,18120 - 107 AVENUE NW,476996247-001,Issued,"Sep 22, 2023","Sep 21, 2025",,4640,Wilson Industrial,Nakota Isga,53.553764,-113.634255,"(53.55376404689513, -113.63425506666663)",1,POINT (-113.63425506666663 53.55376404689513)
Residential Rental Accommodation (Long-Term),EDMONTON MENTOR HOUSE 4,12244 - 80 STREET NW,410941811-002,Issued,"Sep 20, 2022","Nov 03, 2024",,1130,Elmwood Park,Métis,53.578037,-113.464191,"(53.578037025220546, -113.46419109659386)",1,POINT (-113.46419109659386 53.578037025220546)
Delivery and Logistic Service,CHEEMA HOLDING,,436351591-002,Issued,"Aug 13, 2024","Aug 01, 2026",,,,,,,,1,
Delivery and Logistic Service,PASSION HOLDINGS INC.,,349671885-002,Issued,"Dec 20, 2023","Dec 12, 2024",,,,,,,,1,
Personal Service,NV ESTHETICS,,384876872-002,Issued,"Feb 01, 2024","Feb 03, 2025",,,,,,,,1,
Commercial School,CANADIAN SECURITY INSTITUTE,,398016306-002,Issued,"May 31, 2024","Jun 24, 2026",,,,,,,,1,
Retail Sales (Minor),HORSE HILL FLOWERS,,424797725-002,Issued,"Feb 20, 2024","Mar 07, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",VENTUS CONSTRUCTION LTD.,,468722296-002,Issued,"Apr 24, 2024","Apr 24, 2025",,,,,,,,1,
Retail Sales (Minor),BIRDIE AND DOT,,362797560-002,Issued,"Jul 05, 2024","Jul 05, 2025",,,,,,,,1,
Administration Office / Professional Service,FIRE-ALERT SE EDMONTON,,458494430-002,Issued,"Dec 22, 2022","Dec 21, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",M.A.C. SERVICES LTD.,,374318053-002,Issued,"Nov 06, 2023","Oct 28, 2024",,,,,,,,1,
"Retail Sales (Minor), Construction, Contracting, and Labour Service",GOODING CARPENTRY LTD/SOMETHING BORROWED WEDDING RENTALS),Non Resident Business,490827930-001,Issued,"Dec 12, 2023","Dec 11, 2024",,,,,,,,1,
Personal Service,EURO-OSTEOPATHIC APPROACH,,430285354-002,Issued,"May 23, 2024","Jul 03, 2025",,,,,,,,1,
Retail Sales (Minor),THE WHITE GALLERY,12403 - STONY PLAIN ROAD NW,480756073-001,Issued,"Jan 16, 2024","Jan 15, 2025",124 Street and Area,3440,Westmount,O-day'min,53.546573,-113.536385,"(53.54657303566164, -113.53638459097274)",1,POINT (-113.53638459097274 53.54657303566164)
Delivery and Logistic Service,1831366 ALBERTA LTD.,,327818526-002,Issued,"Jul 18, 2024","Jun 16, 2025",,,,,,,,1,
Administration Office / Professional Service,YEMKO SERVICES INCORPORATED,,482922256-001,Renewal Notice,"Oct 03, 2023","Oct 02, 2024",,,,,,,,1,
Administration Office / Professional Service,BOUMA MANAGEMENT AND CONSULTING SERVICES,,454584174-002,Issued,"Nov 29, 2022","Nov 28, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",NEXTGEN HOME BUILDERS LTD.,,402640895-002,Issued,"Aug 12, 2024","Jul 29, 2025",,,,,,,,1,
Vehicle Sales and Rental,2597359 ALBERTA CORP.,,503827721-001,Issued,"Apr 29, 2024","Apr 28, 2025",,,,,,,,1,
Financial Service,SMP FINANCIAL INC.,"222, 4128A - 97 STREET NW",429733200-002,Issued,"Mar 21, 2024","May 02, 2025",,6700,Strathcona Industrial Park,Karhiio,53.477021,-113.480468,"(53.47702103311411, -113.48046762676799)",1,POINT (-113.48046762676799 53.47702103311411)
Personal Service,STUDIO NO.161,,407882770-003,Issued,"Nov 27, 2023","Nov 16, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",B-JAY’S LANDSCAPING & LAWN CARE,,373504141-002,Renewal Notice,"Sep 25, 2023","Sep 28, 2024",,,,,,,,1,
Vehicle Sales and Rental,WHEEL REPAIR CANADA INC,,360459954-002,Issued,"Aug 22, 2024","Sep 07, 2025",,,,,,,,1,
Commercial School,MINI MOZARTS,,489372379-001,Issued,"Dec 15, 2023","Dec 14, 2024",,,,,,,,1,
"Administration Office / Professional Service, Retail Sales (Minor)",STUDY CANADALINK,,491673954-001,Issued,"Nov 29, 2023","Nov 28, 2024",,,,,,,,1,
Administration Office / Professional Service,ANOINTECH SOLUTIONS,,465676739-002,Issued,"Mar 07, 2024","Mar 08, 2025",,,,,,,,1,
Personal Service,MUSCLE METAMORPHOSIS INC.,,408523146-002,Issued,"Aug 11, 2023","Sep 16, 2025",,,,,,,,1,
Personal Service,BUMBLEBEE BEAUTY,,492740866-001,Issued,"Jan 04, 2024","Jan 03, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",UNIQUE EPOXY FLOORING & GEN CLEANING,,382806251-002,Issued,"Dec 28, 2023","Jan 06, 2025",,,,,,,,1,
Animal Breeding and Boarding Facility,TITAN DOG GROOMING,,483342623-001,Issued,"Nov 28, 2023","Nov 27, 2024",,,,,,,,1,
"Wholesale, Warehouse, and Storage","FASTENAL CANADA, LTD.",14049 - 156 STREET NW,350820804-002,Issued,"Apr 24, 2024","May 28, 2025",,4320,Mistatim Industrial,Anirniq,53.601788,-113.588184,"(53.6017880385983, -113.58818406080884)",1,POINT (-113.58818406080884 53.6017880385983)
"Administration Office / Professional Service, Health Enhancement Centre (Accredited / Independent)",HEALING HANDS OF MASSAGE & EQUINE MASSAGE THERAPY,,409557244-002,Renewal Notice,"Sep 18, 2023","Oct 05, 2024",,,,,,,,1,
Retail Sales (Minor),SYLVIAS ANGELFISH AND MORE,,361761286-002,Issued,"Sep 30, 2023","Oct 28, 2024",,,,,,,,1,
Administration Office / Professional Service,TALENT PRODUCTIONS INC.,,389298881-002,Issued,"Mar 10, 2024","Apr 21, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",HUFNAGEL CONTRACTING AND SERVICES,,364477078-002,Issued,"Jun 10, 2024","Jul 05, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",ECOBINS INC.,,435201120-002,Issued,"May 27, 2024","Jul 03, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",FRANCA'S OFFICE MAID BUILDING ETC,,356161802-002,Issued,"Apr 30, 2024","Mar 03, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",BUSY BOYZ EXTERIOR LTD.,1101 - 77 AVENUE NW,488659378-001,Issued,"Dec 05, 2023","Dec 04, 2025",,6690,Southeast Industrial,Sspomitapi,53.512787,-113.362784,"(53.51278701702283, -113.36278364123262)",1,POINT (-113.36278364123262 53.51278701702283)
"Construction, Contracting, and Labour Service",S & E SHEETMETAL,,327634707-002,Renewal Notice,"Sep 20, 2022","Aug 28, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",SAM'S EXCAVATING & LANDSCAPING LTD,,432860938-002,Issued,"May 10, 2024","May 17, 2025",,,,,,,,1,
Administration Office / Professional Service,BABY EXPERTS INC.,,387588991-002,Issued,"Mar 20, 2023","Mar 21, 2025",,,,,,,,1,
Administration Office / Professional Service,DESIGN PLUS GRAPHIC & PRINT SERVICES,,448022888-002,Issued,"Jan 02, 2024","Jan 02, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",E & L COMMERCIAL CLEANING SERVICES LTD.,,493483197-001,Issued,"Dec 14, 2023","Dec 13, 2024",,,,,,,,1,
Retail Sales (Minor),BELLA BALLOONS & STYLING,,424439645-002,Issued,"Jan 28, 2024","Mar 07, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",CENTROID CONSTRUCTION LTD.,,471999588-001,Issued,"May 17, 2023","May 16, 2025",,,,,,,,1,
"Public Market Organizer, Retail Sales (Minor)",HAZELDEAN COMMUNITY MARKET,9630 - 66 AVENUE NW,435468385-002,Issued,"Apr 29, 2024","Mar 15, 2025",,6290,Hazeldean,papastew,53.503202,-113.477966,"(53.50320203126931, -113.47796561858462)",1,POINT (-113.47796561858462 53.50320203126931)
Retail Sales (Minor),JOUJOU'S TREASURES LIQUIDATION,,484965351-001,Issued,"Oct 16, 2023","Oct 15, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",ARCUS HOMES,,363654053-002,Issued,"Jun 11, 2024","Jun 14, 2026",,,,,,,,1,
Administration Office / Professional Service,AHM & ASSOCIATES INC.,,501628265-001,Issued,"Apr 09, 2024","Apr 08, 2025",,,,,,,,1,
Administration Office / Professional Service,CARLA KRUGER COUNSELLING,,503166413-001,Issued,"Apr 04, 2024","Apr 03, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",2360288 ALBERTA LTD.,,439325768-002,Issued,"Jul 23, 2024","Jul 26, 2025",,,,,,,,1,
Administration Office / Professional Service,INTEGRA TECHNOLOGIES LIMITED,4168 - 78 AVENUE NW,479578475-001,Renewal Notice,"Sep 19, 2023","Sep 18, 2024",,6780,Weir Industrial,Métis,53.515127,-113.406384,"(53.51512702206085, -113.40638413065544)",1,POINT (-113.40638413065544 53.51512702206085)
Manufacturer,LUXTY,,365990803-002,Issued,"Jul 29, 2024","Jun 28, 2025",,,,,,,,1,
Retail Sales (Minor),SCIEDCO LABS,,416627435-002,Issued,"Dec 14, 2023","Jan 17, 2026",,,,,,,,1,
Delivery and Logistic Service,KANG OILFIELDS LTD.,,497859431-001,Issued,"Mar 18, 2024","Mar 17, 2025",,,,,,,,1,
"Personal Service, Retail Sales (Minor)",DEBBIES FASHION DESIGN INC.,10462 - 174 STREET NW,429558903-002,Issued,"Apr 22, 2024","May 29, 2026",,4510,Stone Industrial,Nakota Isga,53.548103,-113.620998,"(53.54810304564672, -113.62099807153065)",1,POINT (-113.62099807153065 53.54810304564672)
Vehicle Sales and Rental,2382195 ALBERTA LTD.,,411894440-002,Issued,"Oct 05, 2023","Nov 18, 2024",,,,,,,,1,
Commercial School,CANADIAN DRIVING SCHOOL,,391982580-002,Issued,"Mar 17, 2024","Apr 26, 2026",,,,,,,,1,
Retail Sales (Minor),KILL IT QUICK ENTERTAINMENT,,388968192-002,Issued,"Mar 20, 2024","Mar 24, 2025",,,,,,,,1,
Administration Office / Professional Service,DESIGNX21,,464716048-002,Issued,"Jan 14, 2024","Feb 23, 2025",,,,,,,,1,
Vehicle Sales and Rental,2590870 ALBERTA LTD.,,501746332-001,Issued,"Jul 26, 2024","Jul 25, 2025",,,,,,,,1,
Financial Service,NORA'S TROPICAL SERVICES,,450530142-002,Issued,"Jan 06, 2023","Jan 05, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",SOHAL CONTRACTING LTD.,,390426419-002,Issued,"May 01, 2024","Apr 18, 2026",,,,,,,,1,
Personal Service,DIAMOND DEFINITION,,387221848-002,Issued,"Mar 10, 2024","Mar 03, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",3.A. CONSTRUCTION,,487903137-001,Issued,"Oct 13, 2023","Oct 12, 2024",,,,,,,,1,
Administration Office / Professional Service,ROOTS TO PEAK MANAGEMENT,,374090109-002,Issued,"Aug 30, 2023","Oct 13, 2024",,,,,,,,1,
Administration Office / Professional Service,BACH IT UP AGRI-CONSULTING,,356435851-002,Issued,"Feb 10, 2024","Mar 10, 2025",,,,,,,,1,
General Business,ANCHOR CARE HOME INC.,,480130755-001,Issued,"Aug 09, 2024","Aug 08, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",THE RIGHT ROOTER INC.,,479496275-001,Issued,"Aug 09, 2024","Aug 02, 2025",,,,,,,,1,
"Administration Office / Professional Service, Retail Sales (Minor)",MOMENTS IN MIND,,486392736-001,Issued,"Oct 25, 2023","Oct 24, 2024",,,,,,,,1,
"Retail Sales (Minor), Light Duty Repair Service",THE CONTRACTOR CANOPY COMPANY,,452498355-002,Issued,"Nov 26, 2023","Jan 08, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",FRESH NEST GREEN CLEANING,,476605371-001,Issued,"Jul 04, 2024","Jul 03, 2025",,,,,,,,1,
Retail Sales (Minor),MCTRADE INC.,,485796199-001,Issued,"Nov 16, 2023","Nov 15, 2024",,,,,,,,1,
Retail Sales (Minor),GOLD AND LUXXE,,429708851-002,Issued,"Aug 26, 2024","Jun 12, 2025",,,,,,,,1,
Retail Sales (Minor),SUNGLASS HUT #4288,"173, 1 - KINGSWAY GARDEN MALL NW",503481892-001,Issued,"May 16, 2024","May 15, 2025",Kingsway,1230,Spruce Avenue,O-day'min,53.562305,-113.505555,"(53.56230503106817, -113.50555509259978)",1,POINT (-113.50555509259978 53.56230503106817)
"Construction, Contracting, and Labour Service",E TECH ELECTRICAL LTD.,,498488945-001,Issued,"Jan 27, 2024","Jan 26, 2025",,,,,,,,1,
Administration Office / Professional Service,EDMONTON FLUTE ASSOCIATION,,464407979-002,Issued,"Jan 22, 2024","Feb 22, 2026",,,,,,,,1,
Administration Office / Professional Service,S I CONSTRUCTION SYSTEMS LTD.,,503147815-001,Issued,"Apr 18, 2024","Apr 17, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",SOLARMAX POWER,1103 - 95 STREET SW,327447353-002,Issued,"Mar 14, 2024","Mar 03, 2025",,6214,Ellerslie Industrial,Karhiio,53.420312,-113.479581,"(53.42031203636992, -113.47958114585138)",1,POINT (-113.47958114585138 53.42031203636992)
Retail Sales (Minor),LADY BUG HIVEZ / ALLY-OS,,473062996-001,Issued,"Jul 05, 2024","Jun 01, 2025",,,,,,,,1,
"Health Enhancement Centre (Accredited / Independent), Health Enhancement Practitioner (Accredited)",STEVEN BOONE,,494584374-001,Issued,"Jan 16, 2024","Jan 15, 2026",,,,,,,,1,
Personal Service,GREAT LOOK BEAUTY SPA INC.,,366756044-002,Issued,"Jul 10, 2024","Jul 20, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",COLDBOX BUILDERS INC.,,364558293-001,Issued,"May 08, 2024","Jun 09, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",ALBERTA UNLIMITED ROOFING,,423835379-002,Issued,"Mar 04, 2024","Mar 03, 2025",,,,,,,,1,
Administration Office / Professional Service,TRAVELENY ADVENTURES,,502293955-001,Issued,"Mar 12, 2024","Mar 11, 2025",,,,,,,,1,
Travelling or Temporary Sales,MAGGIE WALT DESIGN,,433537638-002,Issued,"Apr 05, 2024","May 16, 2026",,,,,,,,1,
Delivery and Logistic Service,AZ CARRIERS INC.,,430735362-002,Issued,"May 17, 2024","Jun 08, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",TEMPEST MAINTENANCE,,419835149-002,Issued,"Mar 27, 2024","Feb 06, 2025",,,,,,,,1,
Financial Service,NJ TAX & ACCOUNTING LTD.,"2FL, 3209 - 97 STREET NW",410740631-002,Issued,"Mar 15, 2024","Apr 17, 2025",,6570,Parsons Industrial,Karhiio,53.464781,-113.478564,"(53.46478103361251, -113.47856413127676)",1,POINT (-113.47856413127676 53.46478103361251)
"Public Market Vendor, Retail Sales (Minor), Manufacturer",JUST LOVELY GIFTS,,454278417-002,Issued,"Dec 21, 2023","Dec 01, 2024",,,,,,,,1,
Administration Office / Professional Service,EON CONSULTING SERVICES,,489476895-001,Issued,"Nov 03, 2023","Nov 02, 2024",,,,,,,,1,
Retail Sales (Major),DOLLAR TREE # 40271,4926 - 98 AVENUE NW,383103881-002,Issued,"Oct 19, 2023","Oct 18, 2024",,6180,Eastgate Business Park,Métis,53.537951,-113.416199,"(53.53795102187662, -113.41619862081484)",1,POINT (-113.41619862081484 53.53795102187662)
"Retail Sales (Major), Second Hand Dealer",MCBAIN CAMERA,10805 - 107 AVENUE NW,340594532-002,Issued,"Jan 17, 2024","Dec 01, 2024",North Edge,1030,Central McDougall,O-day'min,53.551235,-113.507121,"(53.55123503190527, -113.50712109596437)",1,POINT (-113.50712109596437 53.55123503190527)
"Construction, Contracting, and Labour Service",FLOWSTAR PLUMBING & HEATING,,373207606-002,Issued,"Sep 15, 2023","Oct 13, 2024",,,,,,,,1,
Administration Office / Professional Service,CHARTZ CONSULTING INC.,,432486095-002,Issued,"May 02, 2024","Jun 12, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",ALFORJA CLEANING SERVICE INC.,Non Resident Business,481864530-001,Renewal Notice,"Aug 30, 2023","Aug 29, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",NITSUA CONTRACTING,,475872187-001,Issued,"May 31, 2024","Jul 03, 2026",,,,,,,,1,
General Business,TITA'S DAY HOME,,395608164-002,Issued,"Jun 27, 2024","Jun 20, 2025",,,,,,,,1,
Retail Sales (Minor),DRESS ME IQ,9917A - 110 STREET NW,486220110-001,Issued,"May 27, 2024","May 26, 2025",,1150,Oliver,O-day'min,53.537978,-113.509740,"(53.537978032996676, -113.50974009982343)",1,POINT (-113.50974009982343 53.537978032996676)
Personal Service,4BEAUTY,,447428702-002,Issued,"Aug 29, 2023","Oct 10, 2024",,,,,,,,1,
Personal Service,GOLD BEAUTY SPA,,405471687-002,Issued,"Oct 07, 2023","Oct 11, 2024",,,,,,,,1,
Retail Sales (Minor),OBSCURA INCOGNITA INC.,,342428600-002,Issued,"Aug 27, 2024","Sep 30, 2025",,,,,,,,1,
Personal Service,CHAOS TATTOOS,,500990779-001,Issued,"Mar 10, 2024","Mar 09, 2025",,,,,,,,1,
Administration Office / Professional Service,MORE REAL ESTATE,,391019169-002,Issued,"Mar 26, 2023","Apr 20, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",ACCURATE PATIO COVERS  & RAILING LTD.,,434152514-002,Issued,"May 30, 2024","May 29, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",DESIGN2DONE,,490466170-001,Issued,"Dec 14, 2023","Dec 13, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",DU-RITE CAULKING INC.,,458814392-002,Issued,"Nov 30, 2023","Dec 28, 2024",,,,,,,,1,
"Health Enhancement Centre (Accredited / Independent), Health Enhancement Practitioner (Accredited)",EMILY  AHLF,,502655220-001,Issued,"Mar 11, 2024","Mar 10, 2025",,,,,,,,1,
"Retail Sales (Minor), Manufacturer",THE KURO KUUDERE,,484833842-001,Renewal Notice,"Sep 25, 2023","Sep 24, 2024",,,,,,,,1,
"Health Enhancement Centre (Accredited / Independent), Health Enhancement Practitioner (Accredited)",LAILA'S WHOLENESS THERAPEUTIC MASSAGE,,483740888-001,Issued,"Aug 06, 2024","Sep 14, 2025",,,,,,,,1,
Administration Office / Professional Service,2196518 ALBERTA INC.,,491984274-001,Issued,"Jan 30, 2024","Jan 29, 2025",,,,,,,,1,
"Administration Office / Professional Service, Construction, Contracting, and Labour Service",LOT 34 INC.,,481354122-001,Issued,"Dec 21, 2023","Dec 20, 2024",,,,,,,,1,
