School Code,School Name,Address,Postal Code,EPSB Ward,City Ward,School Website,School EMail,School Phone,Grades,Program,District Centre,Childcare,POINT_X,POINT_Y,New Georeferenced Column,Public_or_cath
7522,D S MacKenzie School,4020 - 106 Street NW,T6J1A6,EPSB WARD F,WARD 10,http://dsmackenzie.epsb.ca,dsmackenzie@epsb.ca,(780) 438-9103,Gr 7-9,,BLA/CHA/STR,No,-113.5060803,53.47603525,POINT (-113.506080263 53.4760352503),Public
7551,Britannia School,16018 - 104 Avenue NW,T5P0S3,EPSB WARD C,WARD 01,http://britannia.epsb.ca,britannia@epsb.ca,(780) 489-5300,Gr 7-9,LOG,BLA/CLS,Yes,-113.5979116,53.54674264,POINT (-113.59791160500001 53.5467426377),Public
7278,Earl Buxton School,250 Rhatigan Road East NW,T6R2H7,EPSB WARD F,WARD 09,http://ebuxton.epsb.ca,earlbuxton@epsb.ca,(780) 435-1577,K to Gr 6,,,Yes,-113.5825196,53.47402818,POINT (-113.582519558 53.4740281823),Public
7247,Baturyn School,10603 - 172 Avenue NW,T5X4X4,EPSB WARD A,WARD 03,http://baturyn.epsb.ca,baturyn@epsb.ca,(780) 456-6727,K to Gr 6,,STR,Yes,-113.50615,53.63284177,POINT (-113.50615000500001 53.6328417692),Public
7251,Sakaw School,5730 - 11A Avenue NW,T6L3A9,EPSB WARD I,WARD 11,http://sakaw.epsb.ca,sakaw@epsb.ca,(780) 463-1854,K to Gr 6,,PKP/OPP,No,-113.4278545,53.44076554,POINT (-113.427854493 53.440765536),Public
7516,Killarney School,13110 - 91 Street NW,T5E3P6,EPSB WARD A,WARD 07,http://killarney.epsb.ca,killarney@epsb.ca,(780) 475-1737,Gr 7-9,BAR,CLS/OPP,Yes,-113.4818679,53.59124923,POINT (-113.48186786 53.5912492333),Public
7185,Lendrum School,11330 - 54 Avenue NW,T6H0V7,EPSB WARD F,WARD 10,http://lendrum.epsb.ca,lendrum@epsb.ca,(780) 434-3588,K to Gr 6,FIM,,Yes,-113.5222181,53.49090538,POINT (-113.522218104 53.4909053813),Public
7243,Sweet Grass School,11351 - 31 Avenue NW,T6J4T6,EPSB WARD F,WARD 10,http://sweetgrass.epsb.ca,sweetgrass@epsb.ca,(780) 437-0366,K to Gr 6,ISA,,No,-113.5278023,53.46333612,POINT (-113.527802347 53.4633361162),Public
1936,Nellie Carlson School,4132 MacTaggart Drive NW,T6R0M8,EPSB WARD H,WARD 09,http://nelliecarlson.epsb.ca/,Nelliecarlson@epsb.ca,(587) 489-4702,K to Gr 9,,INT,Yes,-113.5571497,53.4421455,POINT (-113.557149692 53.4421454977),Public
7238,Sifton School,4305 - 134 Avenue NW,T5A3R5,EPSB WARD B,WARD 04,http://sifton.epsb.ca,sifton@epsb.ca,(780) 476-7953,K to Gr 6,FDK,PKP/BLA,No,-113.4081184,53.59426469,POINT (-113.408118444 53.5942646851),Public
1577,Bessie Nichols School,189 Hemingway Road NW,T6M2Z7,EPSB WARD E,WARD 05,http://bessienichols.epsb.ca/,bessienichols@epsb.ca,(780) 444-1922,K to Gr 9,,,Yes,-113.6716111,53.48713954,POINT (-113.671611134 53.4871395387),Public
7121,Dovercourt School,13910 - 122 Avenue NW,T5L2W3,EPSB WARD C,WARD 02,http://dovercourt.epsb.ca,dovercourt@epsb.ca,(780) 455-6171,K to Gr 6,BCH,INT,Yes,-113.5614806,53.57363673,POINT (-113.561480612 53.5736367251),Public
7188,J A Fife School,15004 - 76 Street NW,T5C1C2,EPSB WARD B,WARD 03,http://jafife.epsb.ca,jafife@epsb.ca,(780) 476-0775,K to Gr 6,FIM,LIT,Yes,-113.460791,53.61161737,POINT (-113.460791019 53.6116173694),Public
7909,Millwoods Christian School,8704 Millwoods Road NW,T6K3J3,EPSB WARD G,WARD 11,http://mcs.epsb.ca,millwoodsch@epsb.ca,(780) 462-2627,K to Gr 12,APL,,No,-113.4623005,53.47537016,POINT (-113.462300518 53.4753701646),Public
1283,Edmonton Christian West School,14345 McQueen Road NW,T5N3L5,EPSB WARD C,WARD 06,http://edmchristian.net,ecswest@epsb.ca,(780) 408-7948,K to Gr 9,,,No,-113.5688308,53.55557298,POINT (-113.568830788 53.5555729827),Public
7129,Grovenor School,10345 - 144 Street NW,T5N2V3,EPSB WARD C,WARD 06,http://grovenor.epsb.ca,grovenor@epsb.ca,(780) 455-0832,K to Gr 6,,PKP/BLA,Yes,-113.5684595,53.54502168,POINT (-113.568459482 53.5450216831),Public
7237,Callingwood Elementary School,17335 - 76 Avenue NW,T5T2B1,EPSB WARD E,WARD 05,http://callingwood.epsb.ca,callingwood@epsb.ca,(780) 487-0727,K to Gr 6,,PKP/BLA,No,-113.6228502,53.50870508,POINT (-113.622850243 53.50870508060001),Public
7544,Westmount School,11124 - 130 Street NW,T5M0J2,EPSB WARD C,WARD 02,http://westmountschool.ca,westmount@epsb.ca,(780) 452-8350,Gr 7-9,,OPP,No,-113.5468843,53.55968294,POINT (-113.54688428900002 53.559682936200005),Public
7229,Overlanders School,1150 Hermitage Road NW,T5A4L4,EPSB WARD B,WARD 04,http://overlanders.epsb.ca,overlanders@epsb.ca,(780) 476-3361,K to Gr 6,,BLA/OPP,No,-113.3891756,53.58130675,POINT (-113.389175599 53.5813067499),Public
7729,Rosecrest School,10205 - 134 Avenue NW,T5E1J2,EPSB WARD A,WARD 02,,instsrvs@epsb.ca,(780) 475-3565,K to Gr 12,,,No,-113.4960072,53.59409803,POINT (-113.496007244 53.5940980307),Public
7265,Weinlos School,2911 - 48 Street NW,T6L5T7,EPSB WARD I,WARD 12,http://weinlos.epsb.ca,weinlos@epsb.ca,(780) 462-5261,K to Gr 6,,BLA/OPP,Yes,-113.416301,53.46011093,POINT (-113.416300983 53.4601109262),Public
7254,Keheewin School,1910 - 105 Street NW,T6J5J8,EPSB WARD H,WARD 10,http://keheewin.epsb.ca,keheewin@epsb.ca,(780) 438-3874,K to Gr 6,,INT,No,-113.5015004,53.44904586,POINT (-113.501500405 53.44904585790001),Public
7722,Learning Store at Londonderry,2014 9499-137 Avenue NW,T5E5R8,EPSB WARD A,WARD 07,http://outreach.epsb.ca,lslondonderry@epsb.ca,(780) 457-3467,Gr 10-12,,,No,-113.4888542,53.59791294,POINT (-113.488854173 53.5979129376),Public
7255,Hillview School,355 Woodvale Road East NW,T6L5C3,EPSB WARD G,WARD 11,http://hillview.epsb.ca,hillview@epsb.ca,(780) 463-8108,K to Gr 6,,PKP,No,-113.4281363,53.46771114,POINT (-113.428136261 53.4677111433),Public
7249,Meyonohk School,1850 Lakewood Road South NW,T6K3Y5,EPSB WARD I,WARD 11,http://meyonohk.epsb.ca,meyonohk@epsb.ca,(780) 463-7627,K to Gr 6,BCH,,Yes,-113.4540417,53.4552352,POINT (-113.454041694 53.4552352013),Public
7204,Elmwood School,16325 - 83 Avenue NW,T5R3V8,EPSB WARD E,WARD 05,http://elmwood.epsb.ca,elmwood@epsb.ca,(780) 489-6749,K to Gr 6,SCA,PKP/ISP,Yes,-113.604687,53.51634289,POINT (-113.604686955 53.5163428888),Public
7575,Major General Griesbach School,320 Griesbach Road NW,T5E6R8,EPSB WARD A,WARD 02,http://griesbach.epsb.ca,griesbach@epsb.ca,(780) 456-9482,K to Gr 9,,,No,-113.4964642,53.6075656,POINT (-113.496464224 53.6075656011),Public
7701,Hospital School Campuses,10230 - 111 Avenue NW,T5G0B7,EPSB WARD C,WARD 02,https://epsb.ca/programs/specializedprograms/hospitalstaysandmedicalneeds/,glenrose@epsb.ca,(780) 735-7987,K to Gr 12,CAS,,No,-113.4960639,53.55935443,POINT (-113.496063946 53.5593544281),Public
7223,Malcolm Tweddle School,2340 Millbourne Road West NW,T6K1Y9,EPSB WARD G,WARD 11,http://malcolmtweddle.epsb.ca,mtweddle@epsb.ca,(780) 462-3270,K to Gr 6,COG,,No,-113.457652,53.47730894,POINT (-113.457651966 53.4773089408),Public
7180,Lansdowne School,12323 - 51 Avenue NW,T6H0M6,EPSB WARD F,WARD 10,http://lansdowne.epsb.ca,lansdowne@epsb.ca,(780) 434-3160,K to Gr 6,,PKP,Yes,-113.5455119,53.48766994,POINT (-113.545511929 53.4876699417),Public
7100,Abbott School,12045 - 34 Street NW,T5W1Z5,EPSB WARD D,WARD 07,http://abbott.epsb.ca,abbott@epsb.ca,(780) 477-7310,K to Gr 6,FDK,BLA/STR,Yes,-113.3927561,53.5743841,POINT (-113.392756053 53.5743841026),Public
7220,Grace Martin School,8210 - 36 Avenue NW,T6K0C7,EPSB WARD G,WARD 11,http://gmartin.epsb.ca,gmartin@epsb.ca,(780) 462-7121,K to Gr 6,SKC,LIT/OPP,No,-113.4566641,53.46925429,POINT (-113.456664076 53.4692542925),Public
7055,Victoria School,10210 - 108 Avenue NW,T5H1A8,EPSB WARD C,WARD 06,http://victoria.epsb.ca/,victoria@epsb.ca,(780) 426-3010,K to Gr 12,IBP/IBM/IB,,Yes,-113.4953462,53.5533424,POINT (-113.49534616400001 53.5533424048),Public
484,Amiskwaciy Academy,101 Airport Road NW,T5G3K2,EPSB WARD C,WARD 02,http://amiskwaciy.epsb.ca/,amiskwaciy@epsb.ca,(780) 424-1270,Gr 7-12,AMK,,No,-113.5232033,53.57096758,POINT (-113.523203322 53.5709675753),Public
7565,Ellerslie Campus,521-66 Street SW,T6X1A3,EPSB WARD I,WARD 12,http://ellerslie.epsb.ca,ellerslie@epsb.ca,(780) 988-5556,K to Gr 9,,,No,-113.4417622,53.42801029,POINT (-113.44176218000001 53.4280102932),Public
7267,LaPerle School,18715 - 97A Avenue NW,T5T4C1,EPSB WARD C,WARD 01,http://laperle.epsb.ca,laperle@epsb.ca,(780) 483-1864,K to Gr 6,,STR,Yes,-113.6458264,53.53330944,POINT (-113.64582641500002 53.5333094372),Public
1931,Hilwie Hamdon School,13815 - Cumberland Road NW,T6V1V4,EPSB WARD A,WARD 02,http://hilwiehamdon.epsb.ca,hilwiehamdon@epsb.ca,(587) 489-4712,K to Gr 9,,INT,Yes,-113.558242,53.6074839,POINT (-113.55824200700002 53.6074838962),Public
7216,Thorncliffe School,8215 - 175 Street NW,T5T0G9,EPSB WARD C,WARD 05,http://thorncliffe.epsb.ca,thorncliffe@epsb.ca,(780) 487-2061,K to Gr 6,,BLA/LIT,Yes,-113.6229807,53.51598611,POINT (-113.622980683 53.5159861129),Public
7213,Youngstown School,10330 - 163 Street NW,T5P3N5,EPSB WARD C,WARD 01,http://youngstown.epsb.ca,youngstown@epsb.ca,(780) 489-4600,K to Gr 6,FDK/LOG,PKP,Yes,-113.603005,53.54580766,POINT (-113.603005022 53.5458076595),Public
1455,Johnny Bright School,1331 Rutherford Road NW,T6W1P4,EPSB WARD H,WARD 09,http://johnnybright.epsb.ca/,johnnybright@epsb.ca,(780) 437-1341,K to Gr 9,,,No,-113.5348805,53.41928146,POINT (-113.534880543 53.4192814641),Public
7113,Calder School,12950 - 118 Street NW,T5E5L2,EPSB WARD A,WARD 02,http://calder.epsb.ca/,calder@epsb.ca,(780) 454-4313,K to Gr 6,BAR/FDK,BLA,No,-113.525571,53.58865768,POINT (-113.525571028 53.5886576768),Public
7264,Daly Grove School,1888 - 37 Street NW,T6L2R2,EPSB WARD I,WARD 12,http://dalygrove.epsb.ca,dalygrove@epsb.ca,(780) 450-1532,K to Gr 6,,INT,No,-113.3998572,53.44986355,POINT (-113.399857242 53.4498635546),Public
7066,Old Scona School,10523 - 84 Avenue NW,T6E2H5,EPSB WARD F,WARD 08,http://oldscona.epsb.ca,oldscona@epsb.ca,(780) 433-0627,Gr 10-12,ACA/IB,,No,-113.5019757,53.51977537,POINT (-113.501975651 53.519775373),Public
7205,Glendale School,9812 - 161 Street NW,T5P3H4,EPSB WARD E,WARD 01,http://glendale.epsb.ca,glendale@epsb.ca,(780) 489-4300,K to Gr 6,FDK,INT,No,-113.5995895,53.53637374,POINT (-113.599589522 53.5363737397),Public
7241,Steinhauer School,10717 - 32A Avenue NW,T6J4A6,EPSB WARD F,WARD 10,http://steinhauer.epsb.ca,steinhauer@epsb.ca,(780) 437-1080,K to Gr 6,,PKP/BLA/LIT,Yes,-113.5063456,53.46466265,POINT (-113.506345555 53.464662645),Public
7276,Bisset School,3020 - 37 Street NW,T6L5X1,EPSB WARD I,WARD 12,http://bisset.epsb.ca,bisset@epsb.ca,(780) 450-6536,K to Gr 6,,PKP,No,-113.3989634,53.4606054,POINT (-113.398963403 53.460605402000006),Public
7143,McArthur School,13535 - 134 Street NW,T5L1W3,EPSB WARD A,WARD 02,http://mcarthur.epsb.ca,mcarthur@epsb.ca,(780) 455-2728,K to Gr 6,,BLA/PKP/STR,No,-113.5514371,53.59765751,POINT (-113.55143709 53.5976575052),Public
7529,Parkallen School,6703 - 112 Street NW,T6H3J9,EPSB WARD F,WARD 10,http://parkallen.epsb.ca,parkallen@epsb.ca,(780) 434-8503,K to Gr 6,BCH,OPP,Yes,-113.5193463,53.50420538,POINT (-113.519346277 53.5042053849),Public
1924,Constable Daniel Woodall School,315 Windermere Road NW,T6W0V9,EPSB WARD H,WARD 09,http://constabledanielwoodall.epsb.ca,constabledanielwoodall@epsb.ca,(780) 944-2829,K to Gr 6,,,Yes,-113.6172979,53.43954046,POINT (-113.617297869 53.4395404605),Public
1951,Ivor Dent School,11010 - 32 Street NW,T5W1Y7,EPSB WARD D,WARD 07,http://ivordent.epsb.ca,ivordent@epsb.ca,(587) 489-4714,K to Gr 9,FDK,BLA,No,-113.3903114,53.56366712,POINT (-113.390311404 53.5636671203),Public
7570,T D Baker School,1750 Millwoods Road East NW,T6L5C5,EPSB WARD I,WARD 12,http://tdbaker.epsb.ca,tdbaker@epsb.ca,(780) 462-5496,Gr 7-9,,BLA/CHA/INT/OPP,No,-113.4052283,53.44793634,POINT (-113.405228321 53.4479363351),Public
7123,Forest Heights School,10304 - 81 Street NW,T6A3X4,EPSB WARD D,WARD 08,http://forestheights.epsb.ca,forest@epsb.ca,(780) 466-0312,K to Gr 6,BGE,,Yes,-113.4533524,53.54472479,POINT (-113.453352405 53.5447247894),Public
1927,Jan Reimer School,360 Orchard Boulevard SW,T6X2E1,EPSB WARD I,WARD 12,http://janreimer.epsb.ca,janreimer@epsb.ca,(587) 489-4716,K to Gr 9,,BLA,Yes,-113.4534422,53.40746822,POINT (-113.4534422 53.4074682197),Public
7153,Mount Royal School,11303 - 55 Street NW,T5W3P6,EPSB WARD D,WARD 07,http://mountroyal.epsb.ca/,mountroyal@epsb.ca,(780) 477-8202,K to Gr 6,ART,,Yes,-113.4254261,53.56875335,POINT (-113.425426142 53.5687533523),Public
7104,Athlone School,12940 - 129 Street NW,T5L1J3,EPSB WARD A,WARD 02,http://athlone.epsb.ca/,athlone@epsb.ca,(780) 455-5823,K to Gr 6,FDK,BLA,Yes,-113.5448401,53.58830211,POINT (-113.544840146 53.5883021136),Public
7212,Sherwood School,9550 - 152 Street NW,T5P0B9,EPSB WARD E,WARD 01,http://sherwood.epsb.ca,sherwood@epsb.ca,(780) 489-2600,K to Gr 6,FDK,OPP,Yes,-113.5836972,53.53285587,POINT (-113.583697172 53.5328558744),Public
7051,Eastglen School,11430 - 68 Street NW,T5B1P1,EPSB WARD D,WARD 07,http://eastglen.epsb.ca,eastglen@epsb.ca,(780) 479-1991,Gr 10-12,APL,CLS/INT,No,-113.4454981,53.56781417,POINT (-113.445498138 53.567814168700004),Public
7161,Prince Charles School,12325 - 127 Street NW,T5L0Z9,EPSB WARD C,WARD 02,http://princecharles.epsb.ca,pcharles@epsb.ca,(780) 455-5533,K to Gr 6,AWA/FDK,,No,-113.5401604,53.57857966,POINT (-113.540160401 53.5785796604),Public
7058,McNally School,8440 - 105 Avenue NW,T6A0B6,EPSB WARD D,WARD 08,http://mcnally.epsb.ca/,mcnally@epsb.ca,(780) 469-0442,Gr 10-12,BCH/IB,INT/STR,No,-113.4593675,53.54829216,POINT (-113.459367504 53.5482921551),Public
7138,Kildare School,7525 - 144 Avenue NW,T5C2R8,EPSB WARD B,WARD 07,http://kildare.epsb.ca,kildare@epsb.ca,(780) 476-5675,K to Gr 6,BCH,,No,-113.4570801,53.60642907,POINT (-113.457080056 53.606429067),Public
7224,Lee Ridge School,440 Millbourne Road East NW,T6K1Y8,EPSB WARD G,WARD 11,http://leeridge.epsb.ca,leeridge@epsb.ca,(780) 462-3230,K to Gr 6,,BLA/INT,No,-113.4446658,53.47125317,POINT (-113.444665833 53.471253168),Public
7250,Greenview School,5904 - 38 Avenue NW,T6L3P5,EPSB WARD G,WARD 11,http://greenview.epsb.ca,greenview@epsb.ca,(780) 462-0660,K to Gr 6,FIM,,No,-113.4279311,53.47384104,POINT (-113.427931112 53.47384103990001),Public
7553,Stratford Elementary/Junior High School,8715 - 153 Street NW,T5R1P1,EPSB WARD E,WARD 01,http://stratford.epsb.ca,stratford@epsb.ca,(780) 484-3381,K to Gr 9,COG,,Yes,-113.584737,53.52003386,POINT (-113.584736958 53.5200338552),Public
7197,Westbrook School,11915 - 40 Avenue NW,T6J0S1,EPSB WARD F,WARD 10,http://westbrook.epsb.ca,westbrook@epsb.ca,(780) 438-4200,K to Gr 6,,CHA,No,-113.5395419,53.47588075,POINT (-113.539541945 53.475880747),Public
7207,James Gibbons School,8945 - 153 Street NW,T5R1P1,EPSB WARD E,WARD 01,http://jgibbons.epsb.ca,jgibbons@epsb.ca,(780) 489-8020,K to Gr 6,TPM,,Yes,-113.5845974,53.52262328,POINT (-113.584597449 53.5226232835),Public
7201,Richard Secord School,4025 - 117 Street NW,T6J1T4,EPSB WARD F,WARD 10,http://rsecord.epsb.ca,rsecord@epsb.ca,(780) 436-9839,K to Gr 6,COG/FIM,,Yes,-113.5346256,53.47702232,POINT (-113.53462558200002 53.4770223185),Public
7253,Bannerman School,14112 - 23 Street NW,T5Y2B9,EPSB WARD B,WARD 04,http://bannerman.epsb.ca,bannerman@epsb.ca,(780) 478-7706,K to Gr 6,,ISP/STR,Yes,-113.3787147,53.60503,POINT (-113.37871467100001 53.605029997),Public
7269,Lymburn School,18710 - 72 Avenue NW,T5T4E9,EPSB WARD E,WARD 05,http://lymburn.epsb.ca,lymburn@epsb.ca,(780) 487-1777,K to Gr 6,COG,INT,Yes,-113.6467001,53.50560259,POINT (-113.646700126 53.5056025933),Public
7118,Delton School,12126 - 89 Street NW,T5B3W4,EPSB WARD D,WARD 07,http://delton.epsb.ca,delton@epsb.ca,(780) 477-8742,K to Gr 6,FDK,PKP/BLA/OPP,No,-113.4785028,53.5758487,POINT (-113.478502756 53.5758487049),Public
7186,Malmo School,4716 - 115 Street NW,T6H3N8,EPSB WARD F,WARD 10,http://malmo.epsb.ca,malmo@epsb.ca,(780) 434-1362,K to Gr 6,BAR,,Yes,-113.5291997,53.48522333,POINT (-113.52919974 53.4852233274),Public
7127,Gold Bar School,10524 - 46 Street NW,T6A1Y3,EPSB WARD D,WARD 08,http://goldbar.epsb.ca/,goldbar@epsb.ca,(780) 466-4116,K to Gr 6,,BLA,Yes,-113.4133851,53.54940948,POINT (-113.413385103 53.549409481),Public
7242,Lorelei School,16230 - 103 Street NW,T5X3A9,EPSB WARD A,WARD 03,http://lorelei.epsb.ca,lorelei@epsb.ca,(780) 456-4488,K to Gr 6,,INT/OPP,No,-113.5018692,53.62416365,POINT (-113.501869182 53.6241636534),Public
7574,Kate Chegwin School,3119 - 48 Street NW,T6L6P5,EPSB WARD I,WARD 12,http://katechegwin.epsb.ca,kchegwin@epsb.ca,(780) 469-0470,Gr 7-9,PAP,BLA/STR,No,-113.4150665,53.46258518,POINT (-113.415066453 53.4625851754),Public
7192,Afton School,16604 - 91 Avenue NW,T5R5A4,EPSB WARD E,WARD 01,http://afton.epsb.ca,afton@epsb.ca,(780) 484-3263,K to Gr 6,ART,,Yes,-113.6095805,53.52661921,POINT (-113.60958052800001 53.5266192051),Public
7557,Vernon Barford School,32 Fairway Drive NW,T6J2C1,EPSB WARD F,WARD 10,http://vbarford.epsb.ca,vbarford@epsb.ca,(780) 413-2211,Gr 7-9,,CHA/LIT,No,-113.5423226,53.47359199,POINT (-113.54232263 53.4735919923),Public
7531,Parkview School,14313 - 92 Avenue NW,T5R5B3,EPSB WARD E,WARD 01,http://parkview.epsb.ca,parkview@epsb.ca,(780) 483-3415,K to Gr 9,BCH/PAP,INT,No,-113.568468,53.5270171,POINT (-113.568467979 53.5270171038),Public
7193,Clara Tyner School,9420 Ottewell Road NW,T6B2E2,EPSB WARD G,WARD 08,http://claratyner.epsb.ca,claratyner@epsb.ca,(780) 469-5339,K to Gr 6,,,No,-113.4354656,53.53096417,POINT (-113.435465614 53.5309641686),Public
7115,Coronation School,10925 - 139 Street NW,T5M1P8,EPSB WARD C,WARD 06,http://coronation.epsb.ca,coronation@epsb.ca,(780) 455-2008,K to Gr 6,IBP,,Yes,-113.560816,53.5550956,POINT (-113.560815996 53.5550956037),Public
7281,Michael A Kostek Elementary School,5303 - 190 Street NW,T6M2L2,EPSB WARD E,WARD 05,http://michaelakostek.epsb.ca/,makostek@epsb.ca,(780) 489-7277,K to Gr 6,,,No,-113.6506412,53.48960175,POINT (-113.650641213 53.4896017516),Public
7505,Donnan School,7803 - 87 Street NW,T6C3G6,EPSB WARD G,WARD 11,http://donnan.epsb.ca,donnan@epsb.ca,(780) 466-8573,K to Gr 6,SPA,,Yes,-113.460702,53.51445764,POINT (-113.460702021 53.51445764420001),Public
7527,Oliver School,10227 - 118 Street NW,T5K2V4,EPSB WARD D,WARD 06,http://oliver.epsb.ca/,oliver@epsb.ca,(780) 488-1221,K to Gr 9,FIM/NMC,,Yes,-113.5246241,53.54381998,POINT (-113.524624103 53.5438199765),Public
1457,Florence Hallock School,16437 87 St NW,T5Z3X1,EPSB WARD A,WARD 03,http://florencehallock.epsb.ca/,florencehallock@epsb.ca,(780) 478-1410,K to Gr 9,,,No,-113.4743543,53.62702284,POINT (-113.474354261 53.6270228428),Public
7053,Ross Sheppard School,13546 - 111 Avenue NW,T5M2P2,EPSB WARD C,WARD 02,http://shep.epsb.ca,rsheppard@epsb.ca,(780) 448-5000,Gr 10-12,BCH/FIM/IB/SPA,CLS/INT,No,-113.5580803,53.55970205,POINT (-113.558080329 53.5597020515),Public
7236,Belmead School,9011 - 182 Street NW,T5T2Y9,EPSB WARD C,WARD 01,http://belmead.epsb.ca,belmead@epsb.ca,(780) 481-3314,K to Gr 6,FDK,INT,Yes,-113.6382297,53.5256838,POINT (-113.63822969600001 53.5256838013),Public
